ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,THRESHOLD MESSAGE (MAX),MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MIN)
7940,291 Mbit/s,36414715.8,09-02-2024 15:10,MAX SPEED for ID 7940 is within both Upper Error Limit(910.0 Mbit/s) and Upper Warning Limit(850.0 Mbit/s),15 Mbit/s,1825250.5,09-02-2024 18:47,MIN SPEED for ID 7940 crosses Lower Warning Limit(2.0 Mbit/s)
9984,204 Mbit/s,25545577.9,09-02-2024 14:56,MAX SPEED for ID 9984 is within both Upper Error Limit(910.0 Mbit/s) and Upper Warning Limit(850.0 Mbit/s),8.01 Mbit/s,1001756.557,09-02-2024 16:29,MIN SPEED for ID 9984 crosses Lower Warning Limit(2.0 Mbit/s)
7943,227 Mbit/s,28410303.8,09-02-2024 15:33,MAX SPEED for ID 7943 is within both Upper Error Limit(510.0 Mbit/s) and Upper Warning Limit(450.0 Mbit/s),11 Mbit/s,1324309.309,09-02-2024 18:17,MIN SPEED for ID 7943 crosses Lower Warning Limit(2.0 Mbit/s)
9930,53 Mbit/s,6604586.064,09-02-2024 16:10,MAX SPEED for ID 9930 is within both Upper Error Limit(130.0 Mbit/s) and Upper Warning Limit(100.0 Mbit/s),0.06 Mbit/s,7008.7,09-02-2024 18:57,not_set
9931,< 0.01,621.9833,09-02-2024 15:32,not_Set,< 0.01,71.0618,09-02-2024 13:57,not_set
10079,2.51 Mbit/s,313427.1167,09-02-2024 17:26,not_Set,< 0.01,123.4706,09-02-2024 18:44,not_set
10108,121 Mbit/s,15173641.95,09-02-2024 15:19,not_Set,15 Mbit/s,1826505.233,09-02-2024 18:48,not_set
10109,126 Mbit/s,15721944.5,09-02-2024 15:33,not_Set,12 Mbit/s,1536340.29,09-02-2024 18:17,not_set
10110,84 Mbit/s,10494579.73,09-02-2024 14:38,not_Set,5.92 Mbit/s,739426.8,09-02-2024 16:12,not_set
10111,249 Mbit/s,31169296.65,09-02-2024 15:14,not_Set,15 Mbit/s,1865370.15,09-02-2024 17:52,not_set
10112,141 Mbit/s,17657145.03,09-02-2024 15:34,not_Set,17 Mbit/s,2185016.983,09-02-2024 17:22,not_set
10119,2.77 Mbit/s,346578.6,09-02-2024 18:43,not_Set,< 0.01,592.5667,09-02-2024 15:43,not_set
10120,154 Mbit/s,19261950.68,09-02-2024 15:21,not_Set,2.35 Mbit/s,293704.9,09-02-2024 18:48,not_set
10121,66 Mbit/s,8193122.363,09-02-2024 15:24,not_Set,1.05 Mbit/s,131843.2,09-02-2024 18:38,not_set
10122,78 Mbit/s,9744713.586,09-02-2024 14:41,not_Set,2.13 Mbit/s,265886.2477,09-02-2024 18:38,not_set
10123,259 Mbit/s,32361392.37,09-02-2024 14:30,not_Set,5.70 Mbit/s,712663.2,09-02-2024 18:48,not_set
10124,33 Mbit/s,4132869.145,09-02-2024 15:25,not_Set,0.49 Mbit/s,60765.2442,09-02-2024 16:06,not_set
10125,< 0.01,11.8423,09-02-2024 15:41,not_Set,< 0.01,11.7911,09-02-2024 15:40,not_set
10131,250 Mbit/s,31295949.86,09-02-2024 15:11,not_Set,14 Mbit/s,1770211.95,09-02-2024 17:52,not_set
10132,267 Mbit/s,33327894.98,09-02-2024 14:30,not_Set,5.54 Mbit/s,692729.0333,09-02-2024 18:48,not_set
10134,< 0.01,90.4635,09-02-2024 13:56,not_Set,< 0.01,85.8857,09-02-2024 13:55,not_set
10142,123 Mbit/s,15390254.8,09-02-2024 15:33,not_Set,17 Mbit/s,2157954.868,09-02-2024 17:22,not_set
10143,31 Mbit/s,3931552.242,09-02-2024 15:25,not_Set,0.56 Mbit/s,70359.5833,09-02-2024 18:57,not_set
10144,< 0.01,90.539,09-02-2024 18:17,not_Set,< 0.01,86.9609,09-02-2024 16:26,not_set
7937,50 Mbit/s,6205569.317,09-02-2024 14:01,not_Set,2.55 Mbit/s,319077.3925,09-02-2024 19:10,not_set
7938,154 Mbit/s,19189800.03,09-02-2024 15:34,not_Set,18 Mbit/s,2235718.136,09-02-2024 17:23,not_set
